Data;Hora (UTC);Temp. Ins. (C);Vizinhos_Usados_Temp (0-3);Umi. Ins. (%);Vizinhos_Usados_Umi (0-3);Salto Temp. Ins. (C);Salto Umi. Ins. (%);Cabreuva Temp. Ins. (C);Cabreuva Umi. Ins. (%)
02/01/2025;0800;20,78;3.0;86,07;3.0;19,7;90,3;21,2;86,6
02/01/2025;0900;20,66;3.0;85,58;3.0;19,8;84,8;21,0;87,5
02/01/2025;1000;21,13;3.0;79,63;3.0;20,5;77,1;21,5;78,2
02/01/2025;1100;23,53;3.0;70,94;3.0;22,9;71,1;23,9;72,8
02/05/2025;1800;27,05;3.0;43,71;3.0;25,6;41,8;27,3;53,5
03/01/2025;0400;20,59;3.0;95,27;3.0;19,4;98,5;20,8;91,1
03/01/2025;0500;20,49;3.0;94,33;3.0;19,4;97,5;20,6;91,8
03/01/2025;0600;20,5;3.0;92,38;3.0;19,4;93,3;20,3;90,6
03/01/2025;0700;20,52;3.0;93,58;3.0;19,5;95,4;20,3;89,9
03/01/2025;0800;20,48;3.0;93,33;3.0;19,5;95,1;20,3;90,6
03/01/2025;0900;20,41;3.0;93,32;3.0;19,4;93,9;20,3;90,8
03/01/2025;1000;20,99;3.0;90,38;3.0;20,1;91,0;21,4;84,0
03/01/2025;1100;22,24;3.0;85,8;3.0;21,5;85,7;22,4;84,1
03/01/2025;1200;23,21;3.0;82,65;3.0;22,2;84,6;23,1;84,0
03/01/2025;1300;24,87;3.0;76,75;3.0;23,8;79,8;24,3;81,4
04/06/2025;2000;26,63;3.0;55,52;3.0;26,3;51,5;25,4;65,7
05/08/2025;0300;16,8;3.0;72,79;3.0;15,5;73,7;17,3;69,9
12/03/2025;1600;30,95;3.0;51,48;3.0;29,1;55,0;31,3;54,7
14/05/2025;0800;15,12;3.0;86,28;3.0;12,8;93,4;16,2;82,4
14/05/2025;0900;14,81;3.0;86,97;3.0;12,3;94,2;15,6;84,1
14/05/2025;1000;14,6;3.0;86,97;3.0;12,1;94,8;15,2;83,5
14/05/2025;1100;15,94;3.0;82,06;3.0;13,4;94,3;17,8;69,5
14/05/2025;1200;18,49;3.0;72,13;3.0;17,5;76,1;19,5;64,7
14/05/2025;1300;20,95;3.0;61,28;3.0;20,2;63,0;22,6;55,4
14/05/2025;1400;22,66;3.0;54,02;3.0;21,9;54,3;23,7;51,3
14/05/2025;1500;23,66;3.0;48,83;3.0;22,8;48,1;24,0;49,8
14/05/2025;1600;24,57;3.0;45,27;3.0;23,6;44,7;25,2;45,0
14/05/2025;1700;24,75;3.0;42,3;3.0;23,8;40,2;25,3;42,8
14/05/2025;1800;24,44;3.0;44,55;3.0;23,6;41,5;23,9;52,8
14/05/2025;1900;24,41;3.0;42,99;3.0;23,2;45,1;23,2;51,1
14/05/2025;2000;23,17;3.0;45,82;3.0;22,2;46,8;22,3;52,2
14/05/2025;2100;21,54;3.0;51,63;3.0;20,0;52,0;20,9;58,8
14/05/2025;2200;19,82;3.0;64,69;3.0;18,2;61,0;19,4;74,8
14/05/2025;2300;18,98;3.0;73,21;3.0;17,8;73,6;18,7;78,2
14/11/2025;2200;23,3;3.0;61,81;3.0;22,5;61,9;22,8;67,6
14/11/2025;2300;21,61;3.0;64,62;3.0;20,6;65,8;21,2;70,8
15/01/2025;1100;22,41;2.0;69,45;2.0;22,1;70,0;;
15/01/2025;1700;30,98;2.0;46,62;2.0;30,3;47,6;;
15/01/2025;1800;31,68;2.0;44,05;2.0;31,0;44,3;;
15/01/2025;1900;31,42;2.0;45,15;2.0;30,5;46,2;;
15/01/2025;2000;30,48;2.0;49,12;2.0;30,3;48,2;;
15/03/2025;0900;20,51;2.0;86,54;2.0;19,4;89,0;;
15/03/2025;1000;20,47;2.0;86,49;2.0;19,3;88,7;;
15/03/2025;1100;22,6;2.0;76,84;2.0;21,8;77,7;;
15/03/2025;1200;24,89;2.0;68,36;2.0;24,4;69,9;;
15/03/2025;1300;26,55;2.0;63,05;2.0;26,0;64,9;;
15/03/2025;1400;28,02;2.0;58,07;2.0;27,1;60,9;;
15/03/2025;1500;29,41;2.0;53,63;2.0;28,3;58,0;;
15/03/2025;1600;30,77;2.0;48,34;2.0;29,6;51,6;;
15/03/2025;1700;31,15;2.0;46,67;2.0;29,8;50,3;;
15/03/2025;1800;31,61;2.0;46,07;2.0;30,5;48,9;;
15/03/2025;1900;31,14;2.0;46,77;2.0;29,6;51,2;;
15/03/2025;2000;30,31;2.0;49,46;2.0;28,9;53,7;;
15/03/2025;2100;29,09;2.0;52,97;2.0;27,8;56,6;;
15/03/2025;2200;26,88;2.0;61,88;2.0;25,4;66,0;;
15/03/2025;2300;25,17;2.0;67,26;2.0;24,0;70,4;;
15/05/2025;0000;18,18;3.0;76,11;3.0;17,1;78,0;18,1;79,6
15/05/2025;0100;17,5;3.0;76,32;3.0;16,6;78,1;17,6;75,2
15/05/2025;0200;17,42;2.0;76,84;2.0;;;17,3;75,1
15/05/2025;0300;16,74;3.0;75,35;3.0;16,3;70,3;16,6;75,7
15/05/2025;0400;16,56;3.0;73,63;3.0;15,9;69,5;16,5;73,5
15/05/2025;0500;16,03;3.0;74,55;3.0;15,0;72,6;16,0;75,8
15/05/2025;0600;15,55;3.0;75,79;3.0;14,6;73,9;15,3;80,3
15/05/2025;0700;15,42;3.0;76,12;3.0;14,1;76,5;16,0;76,1
15/05/2025;0800;14,95;3.0;78,47;3.0;13,7;79,3;15,5;79,2
15/05/2025;0900;14,16;3.0;82,21;3.0;12,3;85,7;14,7;82,1
15/05/2025;1000;13,73;3.0;84,36;3.0;11,9;88,7;14,0;84,1
15/05/2025;1100;15,3;3.0;78,8;3.0;13,5;85,2;17,3;69,5
15/05/2025;1200;19,01;3.0;66,21;3.0;17,8;67,8;22,4;55,8
15/05/2025;1300;21,21;3.0;57,76;3.0;20,3;59,6;23,3;50,9
15/05/2025;1400;22,76;3.0;52,01;3.0;21,8;52,1;24,0;50,8
15/05/2025;1500;23,94;3.0;49,45;3.0;23,0;48,9;24,3;52,7
15/05/2025;1600;25,15;3.0;44,82;3.0;24,0;45,6;25,1;49,1
15/05/2025;1700;25,7;3.0;42,52;3.0;24,7;42,5;25,4;49,1
15/05/2025;1800;25,51;3.0;42,89;3.0;24,2;42,4;24,9;50,9
15/05/2025;1900;25,24;3.0;43,51;3.0;23,8;44,7;24,8;50,0
15/05/2025;2000;25,1;3.0;46,95;3.0;24,2;46,0;23,9;61,4
15/05/2025;2100;23,28;3.0;53,18;3.0;21,6;56,3;22,2;65,3
15/05/2025;2200;21,55;3.0;61,12;3.0;19,3;66,8;21,0;70,7
15/05/2025;2300;19,9;3.0;71,8;3.0;18,6;72,6;19,6;79,0
15/10/2025;0900;16,79;3.0;78,19;3.0;15,9;78,9;17,2;80,4
15/10/2025;1000;17,39;3.0;75,66;3.0;16,5;78,1;18,3;73,1
15/10/2025;1100;20,05;3.0;66,78;3.0;19,5;67,5;21,5;64,2
15/10/2025;1200;22,63;3.0;58,5;3.0;22,4;56,9;23,4;60,8
15/10/2025;1300;24,53;3.0;53,31;3.0;24,2;51,5;24,9;58,1
15/10/2025;1400;26,23;3.0;49,16;3.0;25,9;47,3;26,3;54,9
15/10/2025;1500;27,85;3.0;46,01;3.0;27,5;44,6;27,8;51,4
15/10/2025;1600;29,16;3.0;43,82;3.0;28,8;41,9;28,8;50,4
15/10/2025;1700;29,9;3.0;42,49;3.0;29,3;40,6;29,2;50,3
15/10/2025;1800;30,33;3.0;41,81;3.0;28,9;42,0;29,7;49,3
15/10/2025;1900;30,15;3.0;43,59;3.0;29,5;41,1;28,6;55,9
15/10/2025;2000;28,49;3.0;48,14;3.0;27,8;46,2;26,4;61,3
15/10/2025;2100;25,96;3.0;55,71;3.0;24,7;55,1;24,4;67,6
15/10/2025;2200;22,85;3.0;64,73;3.0;21,3;65,4;21,9;74,7
15/10/2025;2300;20,79;3.0;71,27;3.0;19,5;72,3;20,3;78,5
16/01/2025;0000;23,11;2.0;72,62;2.0;22,0;76,0;;
16/01/2025;0100;22,65;2.0;75,84;2.0;21,6;79,1;;
16/01/2025;0200;22,56;2.0;76,46;2.0;21,7;79,6;;
16/01/2025;0300;22,54;2.0;76,09;2.0;21,8;78,3;;
16/01/2025;0400;22,85;3.0;76,96;3.0;21,8;79,5;23,5;77,9
16/01/2025;0500;22,76;3.0;78,29;3.0;21,7;81,0;23,3;79,9
16/01/2025;0600;22,42;3.0;81,51;3.0;21,7;81,8;23,2;79,6
16/01/2025;0700;22,28;3.0;83,87;3.0;21,6;82,9;23,1;83,5
16/01/2025;0800;22,0;3.0;85,07;3.0;21,4;84,4;22,3;85,7
16/01/2025;0900;22,09;3.0;83,6;3.0;21,5;82,9;22,5;80,4
16/01/2025;1000;22,71;3.0;80,39;3.0;22,1;80,1;23,5;74,3
16/01/2025;1100;24,16;3.0;75,13;3.0;23,1;76,8;24,7;71,5
16/01/2025;1600;29,58;2.0;54,96;2.0;28,9;55,7;;
16/01/2025;1700;30,61;2.0;50,37;2.0;29,2;52,4;;
16/03/2025;0000;24,28;2.0;70,03;2.0;23,3;71,2;;
16/03/2025;0100;23,88;2.0;71,22;2.0;22,9;72,7;;
16/03/2025;0200;23,55;2.0;71,78;2.0;22,5;75,1;;
16/03/2025;0300;23,02;2.0;74,63;2.0;22,1;76,6;;
16/03/2025;0400;22,66;2.0;75,96;2.0;21,8;77,5;;
16/03/2025;0500;21,96;2.0;78,84;2.0;21,1;81,3;;
16/03/2025;0600;21,52;2.0;80,09;2.0;20,6;83,6;;
16/03/2025;0700;21,25;2.0;81,72;2.0;20,2;85,9;;
16/03/2025;0800;21,15;2.0;82,72;2.0;20,1;86,9;;
16/03/2025;0900;21,15;2.0;82,38;2.0;20,1;87,3;;
16/03/2025;1000;21,32;2.0;81,64;2.0;20,4;85,7;;
16/03/2025;1100;22,93;2.0;74,93;2.0;22,5;76,9;;
16/03/2025;1200;25,43;2.0;65,82;2.0;25,0;66,8;;
16/03/2025;1300;27,07;2.0;60,82;2.0;26,7;62,3;;
16/03/2025;1400;27,47;2.0;59,52;2.0;27,1;60,2;;
16/03/2025;1500;27,95;2.0;58,68;2.0;27,7;59,3;;
16/03/2025;1600;28,78;2.0;56,73;2.0;28,1;57,9;;
16/03/2025;1700;28,42;2.0;59,73;2.0;27,8;62,5;;
16/03/2025;1800;28,38;2.0;59,39;2.0;28,2;60,8;;
16/03/2025;1900;27,31;2.0;60,44;2.0;26,2;63,7;;
16/03/2025;2000;26,78;2.0;60,81;2.0;25,3;64,5;;
16/03/2025;2100;25,1;2.0;64,76;2.0;23,5;68,7;;
16/03/2025;2200;23,28;2.0;70,09;2.0;21,8;74,4;;
16/03/2025;2300;22,31;2.0;72,68;2.0;20,9;77,6;;
16/05/2025;0000;19,09;3.0;76,58;3.0;17,7;79,2;19,2;78,1
16/05/2025;0100;18,54;3.0;78,7;3.0;17,2;81,4;19,0;78,7
16/05/2025;0200;17,85;3.0;81,09;3.0;16,6;83,8;18,4;81,4
16/05/2025;0300;17,21;3.0;82,91;3.0;16,1;85,4;17,2;84,8
16/05/2025;0400;16,6;3.0;84,64;3.0;15,6;86,6;16,3;86,8
16/05/2025;0500;16,18;3.0;85,77;3.0;15,5;86,3;15,7;87,8
16/05/2025;0600;15,86;3.0;87,06;3.0;14,5;90,4;15,7;87,5
16/05/2025;0700;15,49;3.0;88,36;3.0;14,2;92,5;15,0;88,8
16/05/2025;0800;15,07;3.0;88,39;3.0;13,5;94,4;15,0;85,0
16/05/2025;0900;15,28;3.0;86,75;3.0;13,0;95,2;16,6;76,4
16/05/2025;1000;15,02;3.0;86,66;3.0;13,2;95,0;16,9;76,6
16/05/2025;1100;16,53;3.0;81,28;3.0;15,1;88,0;19,2;66,7
16/05/2025;1200;19,56;3.0;71,37;3.0;18,9;70,9;21,8;63,8
16/05/2025;1300;21,43;3.0;61,42;3.0;20,5;62,5;22,6;56,1
16/05/2025;1400;23,08;3.0;55,17;3.0;22,2;54,3;23,3;57,3
16/05/2025;1500;24,6;3.0;49,68;3.0;23,4;50,5;24,7;52,4
16/05/2025;1600;25,53;3.0;46,34;3.0;24,2;45,9;25,3;51,1
16/05/2025;1700;26,22;3.0;44,42;3.0;25,1;44,0;26,1;50,1
16/05/2025;1800;26,36;3.0;43,6;3.0;25,5;43,6;25,7;50,3
16/10/2025;0000;19,62;3.0;75,87;3.0;18,7;76,0;19,6;81,4
16/10/2025;0100;19,04;3.0;78,19;3.0;18,2;78,6;19,0;82,8
16/10/2025;0200;18,77;3.0;79,49;3.0;17,9;79,7;18,8;82,7
16/10/2025;0300;18,6;3.0;80,25;3.0;17,8;80,1;18,6;83,1
16/10/2025;0400;18,38;3.0;80,89;3.0;17,6;80,7;18,5;83,2
16/10/2025;0500;17,85;3.0;83,2;3.0;17,2;82,2;17,6;86,0
16/10/2025;0600;17,48;3.0;84,9;3.0;16,6;85,6;17,2;86,8
16/10/2025;0700;17,48;3.0;85,35;3.0;16,5;86,3;17,3;86,6
16/10/2025;0800;17,08;3.0;86,45;3.0;16,1;87,4;16,4;88,5
16/10/2025;0900;16,87;3.0;87,44;3.0;15,4;90,0;17,0;87,0
16/10/2025;1000;17,74;3.0;83,84;3.0;16,4;87,6;18,2;81,2
16/10/2025;1100;21,07;3.0;70,4;3.0;20,0;71,3;22,6;66,7
16/10/2025;1200;24,22;3.0;61,01;3.0;23,4;61,3;25,9;60,4
16/10/2025;1300;26,53;3.0;54,31;3.0;25,9;53,1;27,4;56,7
16/10/2025;1400;28,23;3.0;49,68;3.0;27,3;48,9;28,4;53,4
16/10/2025;1500;30,42;3.0;41,99;3.0;29,3;42,0;30,6;45,4
16/10/2025;1600;31,7;3.0;38,73;3.0;30,7;37,7;31,9;43,6
16/10/2025;1700;32,99;3.0;35,1;3.0;31,8;34,3;33,2;37,7
16/10/2025;1800;33,52;3.0;32,81;3.0;32,4;32,4;33,7;35,2
16/10/2025;1900;33,74;3.0;30,53;3.0;32,8;28,2;33,3;35,9
16/10/2025;2000;33,5;3.0;30,6;3.0;32,5;29,1;32,9;37,2
16/10/2025;2100;31,69;3.0;38,24;3.0;31,2;31,9;29,9;59,3
16/10/2025;2200;28,13;3.0;52,28;3.0;27,2;52,0;26,2;62,5
16/10/2025;2300;25,62;3.0;59,08;3.0;24,4;57,5;24,6;61,8
17/01/2025;0600;21,92;2.0;99,37;2.0;21,0;99,0;;
17/01/2025;0700;21,81;2.0;99,26;2.0;20,7;98,4;;
17/01/2025;0800;21,67;2.0;98,58;2.0;20,5;96,3;;
17/01/2025;0900;21,68;2.0;96,61;2.0;20,7;91,2;;
17/03/2025;0000;21,71;2.0;73,81;2.0;20,3;79,1;;
17/03/2025;0100;21,23;2.0;75,37;2.0;20,0;79,8;;
17/03/2025;0200;20,77;2.0;78,12;2.0;19,6;82,3;;
17/03/2025;0300;20,75;3.0;80,43;3.0;19,6;83,3;21,2;82,6
17/03/2025;0400;20,66;3.0;81,56;3.0;19,6;83,8;21,2;84,1
17/03/2025;0500;20,65;3.0;81,99;3.0;19,5;85,5;21,1;83,6
17/03/2025;0600;20,88;3.0;81,66;3.0;19,9;84,6;21,2;83,8
17/03/2025;0700;20,7;3.0;82,77;3.0;19,4;87,0;21,2;84,1
17/03/2025;0800;20,5;3.0;83,9;3.0;19,1;88,6;21,1;84,5
17/03/2025;0900;20,27;3.0;85,23;3.0;19,0;89,9;20,7;86,4
17/03/2025;1000;20,33;3.0;84,56;3.0;19,1;89,2;21,0;83,0
17/03/2025;1100;22,74;3.0;74,99;3.0;21,4;79,3;24,5;69,1
17/03/2025;1200;25,22;3.0;67,04;3.0;24,3;69,4;27,0;63,4
17/03/2025;1300;27,06;3.0;61,25;3.0;26,5;60,5;27,9;63,4
17/03/2025;1400;28,1;3.0;56,92;3.0;26,9;57,9;28,5;59,2
17/03/2025;1500;29,06;3.0;55,44;3.0;27,9;56,4;29,2;60,4
17/03/2025;1600;29,43;3.0;54,97;3.0;28,7;54,4;29,1;63,0
17/03/2025;1700;29,69;3.0;53,86;3.0;28,9;53,3;29,0;62,7
17/03/2025;1800;30,33;3.0;52,86;3.0;29,4;53,1;29,7;61,7
17/03/2025;1900;30,02;3.0;53,97;3.0;28,9;55,5;28,9;64,6
17/03/2025;2000;29,88;3.0;54,43;3.0;29,3;54,4;28,3;64,3
17/03/2025;2100;28,42;3.0;59,79;3.0;28,1;57,2;27,0;71,4
17/03/2025;2200;26,08;3.0;67,61;3.0;25,2;67,7;25,0;76,5
17/03/2025;2300;24,5;3.0;71,94;3.0;23,7;72,6;23,7;79,0
17/10/2025;0000;24,5;3.0;58,38;3.0;23,2;56,5;24,2;55,7
17/10/2025;0100;23,78;3.0;59,06;3.0;22,5;58,1;24,4;54,6
17/10/2025;0200;22,94;3.0;59,78;3.0;22,3;54,1;23,0;61,8
17/10/2025;0300;22,11;3.0;59,0;3.0;20,8;62,1;22,5;52,4
17/10/2025;0400;22,02;3.0;60,43;3.0;20,1;66,3;23,7;49,9
17/10/2025;0500;21,31;3.0;65,58;3.0;19,3;70,6;23,2;57,0
17/10/2025;0600;20,35;3.0;68,93;3.0;18,5;73,9;22,0;54,6
17/10/2025;0700;19,24;3.0;76,14;3.0;18,0;76,2;20,1;67,5
17/10/2025;0800;18,73;3.0;77,73;3.0;17,7;75,1;19,5;69,2
17/10/2025;0900;18,15;3.0;80,14;3.0;16,9;78,2;18,7;72,9
17/10/2025;1000;19,39;3.0;74,26;3.0;18,0;77,5;20,8;63,2
17/10/2025;1100;22,9;3.0;62,68;3.0;21,3;64,6;27,3;49,6
17/10/2025;1200;26,35;3.0;48,96;3.0;24,4;52,5;29,4;45,1
17/10/2025;1300;29,27;3.0;40,89;3.0;28,2;41,6;30,0;43,1
17/10/2025;1400;31,79;3.0;36,44;3.0;30,8;36,9;31,8;38,0
17/10/2025;1500;33,27;3.0;32,98;3.0;31,9;33,3;33,3;35,9
17/10/2025;1600;34,49;3.0;30,53;3.0;33,1;30,0;34,6;34,7
17/10/2025;1700;34,89;3.0;29,18;3.0;33,4;28,5;35,1;33,1
17/10/2025;1800;35,46;3.0;28,29;3.0;34,1;27,0;35,3;34,0
17/10/2025;1900;35,2;3.0;29,02;3.0;33,7;28,7;35,1;33,3
17/10/2025;2000;34,25;3.0;30,92;3.0;32,9;29,9;33,6;37,7
17/10/2025;2100;32,4;3.0;36,76;3.0;31,6;32,4;32,4;42,3
17/10/2025;2200;28,87;3.0;52,07;3.0;29,0;43,4;29,0;63,0
17/10/2025;2300;26,45;3.0;63,75;3.0;25,4;63,8;27,6;58,4
18/03/2025;0000;23,68;2.0;72,25;2.0;22,7;75,2;;
18/03/2025;0100;22,87;3.0;75,88;3.0;22,2;76,2;22,2;81,9
18/03/2025;0200;22,48;3.0;77,19;3.0;21,5;79,0;22,3;80,7
18/03/2025;0300;22,23;3.0;77,98;3.0;21,1;80,1;22,3;81,0
18/03/2025;0400;21,88;3.0;79,55;3.0;20,7;81,8;21,9;82,9
18/03/2025;0500;21,35;3.0;82,01;3.0;20,5;82,9;21,0;86,5
18/03/2025;0600;20,87;3.0;83,63;3.0;20,2;84,5;20,2;88,0
18/03/2025;0700;20,22;3.0;86,69;3.0;19,7;86,3;19,8;89,2
18/03/2025;0800;20,11;3.0;86,93;3.0;19,5;87,5;19,6;89,5
18/03/2025;0900;19,84;3.0;88,01;3.0;19,2;89,1;19,4;90,0
18/03/2025;1000;19,99;3.0;88,28;3.0;19,1;90,6;19,9;89,8
18/03/2025;1100;22,34;3.0;78,78;3.0;20,8;84,9;23,8;73,0
18/03/2025;1200;25,4;3.0;68,65;3.0;24,2;70,5;26,8;69,3
18/03/2025;1300;27,13;3.0;62,98;3.0;26,1;64,6;27,9;65,2
18/03/2025;1400;28,51;3.0;59,4;3.0;27,5;60,6;29,4;60,3
18/03/2025;1500;30,19;3.0;54,88;3.0;28,8;56,3;31,1;55,7
18/03/2025;1600;30,97;3.0;52,82;3.0;29,9;52,4;31,2;55,9
18/03/2025;1700;31,84;3.0;50,6;3.0;30,6;51,8;32,2;53,6
18/03/2025;1800;30,98;3.0;53,5;3.0;28,7;56,0;29,7;67,6
18/03/2025;1900;29,92;3.0;56,89;3.0;28,2;60,7;28,6;68,8
18/03/2025;2000;28,16;3.0;59,17;3.0;26,6;65,7;27,9;64,7
18/03/2025;2100;25,53;3.0;65,16;3.0;24,9;60,8;26,4;74,3
18/03/2025;2200;22,9;3.0;77,4;3.0;19,8;88,7;23,3;80,7
18/03/2025;2300;22,36;3.0;80,01;3.0;19,2;94,2;22,1;84,8
18/10/2025;0000;23,75;3.0;79,66;3.0;22,8;77,6;24,0;83,0
18/10/2025;0100;22,73;3.0;80,49;3.0;21,2;86,3;21,9;89,4
18/10/2025;0200;22,64;3.0;79,41;3.0;21,3;84,8;21,8;86,5
18/10/2025;0300;21,36;3.0;90,59;3.0;21,1;83,9;21,9;86,3
18/10/2025;0400;20,68;3.0;95,86;3.0;19,8;94,0;20,9;91,0
18/10/2025;0500;19,99;3.0;96,5;3.0;19,4;96,3;20,9;91,0
18/10/2025;0600;18,99;3.0;96,95;3.0;18,0;97,1;20,3;91,8
18/10/2025;0700;19,04;3.0;97,25;3.0;18,0;98,4;20,0;91,6
18/10/2025;0800;19,35;3.0;96,58;3.0;18,8;95,9;20,0;91,7
18/10/2025;0900;19,65;3.0;95,41;3.0;19,4;91,5;20,0;91,9
18/10/2025;1000;20,14;3.0;95,66;3.0;19,5;92,0;20,2;92,3
18/10/2025;1100;21,0;3.0;94,31;3.0;20,2;89,3;20,5;92,1
18/10/2025;1200;21,94;3.0;87,76;3.0;21,3;85,2;20,7;91,3
18/10/2025;1300;22,76;3.0;82,36;3.0;22,2;79,1;22,3;85,3
18/10/2025;1400;23,01;3.0;84,35;3.0;22,2;78,9;23,7;80,7
18/10/2025;1500;22,64;3.0;88,88;3.0;21,7;85,1;23,5;84,4
18/10/2025;1600;22,75;3.0;86,88;3.0;21,8;86,6;23,0;86,0
18/10/2025;1700;22,37;3.0;89,34;3.0;21,9;83,6;22,8;85,3
18/10/2025;1800;20,96;3.0;94,64;3.0;20,4;92,2;22,3;88,4
18/10/2025;1900;19,68;3.0;96,06;3.0;18,6;95,3;20,1;90,4
18/10/2025;2000;19,8;3.0;96,26;3.0;18,6;96,6;19,9;89,8
