Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;2025-10-11;15:29:22;27.50;49.70
2;Pico W_F0BB;2025-10-11;15:29:42;27.40;49.80
3;Pico W_F0BB;2025-10-11;15:30:02;27.50;49.90
4;Pico W_F0BB;2025-10-11;15:30:23;27.50;49.90
5;Pico W_F0BB;2025-10-11;15:30:43;27.30;50.20
6;Pico W_F0BB;2025-10-11;15:31:03;28.20;50.80
7;Pico W_F0BB;2025-10-11;15:31:24;29.10;49.80
8;Pico W_F0BB;2025-10-11;15:31:44;29.90;50.00
9;Pico W_F0BB;2025-10-11;15:32:04;30.60;47.70
10;Pico W_F0BB;2025-10-11;15:32:25;31.30;45.90
11;Pico W_F0BB;2025-10-11;15:32:45;31.90;45.70
12;Pico W_F0BB;2025-10-11;15:33:05;32.40;43.90
13;Pico W_F0BB;2025-10-11;15:33:26;32.70;43.00
14;Pico W_F0BB;2025-10-11;15:33:46;32.40;43.30
15;Pico W_F0BB;2025-10-11;15:34:06;32.10;43.50
16;Pico W_F0BB;2025-10-11;15:34:26;31.80;44.00
17;Pico W_F0BB;2025-10-11;15:34:47;31.50;44.00
18;Pico W_F0BB;2025-10-11;15:35:07;31.50;44.30
19;Pico W_F0BB;2025-10-11;15:35:27;32.10;44.20
20;Pico W_F0BB;2025-10-11;15:35:48;32.00;43.50
21;Pico W_F0BB;2025-10-11;15:36:08;31.70;43.40
22;Pico W_F0BB;2025-10-11;15:36:28;31.50;43.80
23;Pico W_F0BB;2025-10-11;15:36:49;31.30;44.30
24;Pico W_F0BB;2025-10-11;15:37:09;31.10;44.40
25;Pico W_F0BB;2025-10-11;15:37:29;31.00;44.80
26;Pico W_F0BB;2025-10-11;15:37:49;30.80;44.80
27;Pico W_F0BB;2025-10-11;15:38:10;30.70;44.80
28;Pico W_F0BB;2025-10-11;15:38:30;30.60;44.60
29;Pico W_F0BB;2025-10-11;15:38:50;30.50;45.10
30;Pico W_F0BB;2025-10-11;15:39:11;30.40;45.30
31;Pico W_F0BB;2025-10-11;15:39:31;30.40;45.70
32;Pico W_F0BB;2025-10-11;15:39:51;30.30;45.70
33;Pico W_F0BB;2025-10-11;15:40:12;30.30;46.00
34;Pico W_F0BB;2025-10-11;15:40:32;30.30;46.00
35;Pico W_F0BB;2025-10-11;15:40:52;30.20;46.50
36;Pico W_F0BB;2025-10-11;15:41:13;30.20;45.90
37;Pico W_F0BB;2025-10-11;15:41:33;30.10;45.70
38;Pico W_F0BB;2025-10-11;15:41:53;30.10;45.40
39;Pico W_F0BB;2025-10-11;15:42:13;30.10;45.80
40;Pico W_F0BB;2025-10-11;15:42:34;30.10;46.00
41;Pico W_F0BB;2025-10-11;15:42:54;30.00;45.70
42;Pico W_F0BB;2025-10-11;15:43:14;30.10;45.90
43;Pico W_F0BB;2025-10-11;15:43:35;30.20;45.70
44;Pico W_F0BB;2025-10-11;15:43:55;30.10;45.30
45;Pico W_F0BB;2025-10-11;15:44:15;30.10;45.40
46;Pico W_F0BB;2025-10-11;15:44:36;30.00;45.10
47;Pico W_F0BB;2025-10-11;15:44:56;30.00;45.20
48;Pico W_F0BB;2025-10-11;15:45:16;29.90;45.30
49;Pico W_F0BB;2025-10-11;15:45:37;29.80;45.40
50;Pico W_F0BB;2025-10-11;15:45:57;29.70;45.30
51;Pico W_F0BB;2025-10-11;15:46:17;29.60;45.70
52;Pico W_F0BB;2025-10-11;15:46:37;29.60;45.80
53;Pico W_F0BB;2025-10-11;15:46:58;29.60;45.60
54;Pico W_F0BB;2025-10-11;15:47:18;29.60;45.90
55;Pico W_F0BB;2025-10-11;15:47:38;29.60;46.10
56;Pico W_F0BB;2025-10-11;15:47:59;29.60;46.10
57;Pico W_F0BB;2025-10-11;15:48:19;29.60;45.60
